"자전거 보관소 현황(동안구)"

;[1]
"행정구역","번호","설치장소","대  수","비  고"
,"144","자유공원내 관리사무소옆","21",""
,"145","성당옆 어린이공원 25호","14",""
,"146","갈산동 안양남초교 앞","14",""
;

"자전거 공기주입기 현황(동안구)"

;[2]
"번호","위치","형식",,"비고 (설치년월)"
,,"전동식","수동식",
"계","총 36개소","30","7",""
"1","인덕원역 8번출구 앞 자전거보관대","○","Ⅹ",""
"2","인덕원동 행정복지센터 내","○","Ⅹ",""
"3","인덕원역 3번 출구","○","Ⅹ",""
"4","동안구청 내 후문 주차장 입구","○","Ⅹ",""
"5","학운공원 운동장 부근","○","Ⅹ",""
"6","범계역 뉴코아아울렛 앞","○","Ⅹ",""
"7","범계역 6번 출구","○","Ⅹ",""
"8","범계역 7번 출구","○","Ⅹ",""
"9","미관광장 인라인스케이트장 앞","○","Ⅹ",""
"10","안양종합운동장 내","○","Ⅹ",""
"11","범계 로데오거리 스타벅스 앞","○","Ⅹ",""
"12","범계역 2번 출구","○","Ⅹ",""
"13","한신금호아파트 사이 보행로","○","Ⅹ","2017. 9."
"14","부림동 행정복지센터","○","Ⅹ","2017. 9."
"15","평촌동 행정복지센터","○","Ⅹ","2017. 9."
"16","학원가 뚜레주르 앞 보도","○","Ⅹ","2017. 9."
"17","호계3동 행정복지센터","○","Ⅹ",""
"18","신총동 행정복지센터 앞 육교아래","○","Ⅹ",""
"19","학원가 파파존스 앞 보도","○","Ⅹ",""
"20","평안동 행정복지센터","○","Ⅹ",""
"21","비산3동 행정복지센터","○","Ⅹ",""
"22","달안동 행정복지센터","○","Ⅹ",""
"23","부흥동 청소년수련관 옆","○","Ⅹ",""
"24","관양고등학교 앞","○","Ⅹ",""
"25","관양동 행정복지센터","○","Ⅹ",""
"26","안양남초교 육교 아래","○","Ⅹ","2017. 12."
"27","쌍개울 매점 옆","○","○","2024. 5."
"28","부흥초, 부흥중 사이 육교 부근","○","Ⅹ",""
"29","귀인동 행정복지센터 부근","○","Ⅹ",""
"30","관양도서관 옆","○","Ⅹ",""
"31","비산1동 행정복지센터 앞","Ⅹ","○",""
"32","비산3동 행정복지센터 옆","Ⅹ","○",""
"33","민백초등학교 앞(공원보도)","Ⅹ","○",""
"34","평촌역 동아프라자 앞","Ⅹ","○",""
"35","비산2동 이마트 앞","Ⅹ","○","2024. 3."
"36","비산3동 관악대로 213앞","Ⅹ","○",""
;
